mapped_taxid	genome_taxids:kmers_mapped:total_genome_kmers
1141525	1141525:3872:42867 
626	406817:142456:4587489 1354304:102960:3659424 585:421:7756773 29484:147:9934511 406818:120932:4225399 1437823:142586:4586464 351671:89353:4203453 351679:100559:4522600 40576:110666:4820371 
1921709	1406790:39352:80283 1406792:40169:81557 1921711:27678:80049 1921713:5170:80699 
1076345	1076345:1116:2622 
869304	869304:3318:2037092 
696125	696125:1064936:1522644 
629	349747:97505:4934704 349746:217343:9360931 2033032:32:5099110 2033033:39:4615500 575:172:5889394 28152:6790932:8938575 360102:216502:9763316 633:523504:23832500 54291:24:40091732 935293:113080:4273785 649716:108833:4737845 1454377:3464631:4550696 1035377:171901:9332382 273123:232995:9679734 930944:300982:4625682 1345710:108323:4683461 377628:86954:4645989 187410:86822:4701547 29484:427385:9934511 547048:109148:4709105 502801:227717:9530422 630:3882935:57353072 631:2986411:4859650 632:1062765:47586497 585:351:7756773 1453495:291005:4470991 29485:166934:4372154 29486:345167:14927879 502800:193808:9378679 229193:108308:4802722 994476:298252:4621520 214092:216355:9552014 47917:834:18051200 1262462:340258:4940038 367190:99786:4964211 386656:217659:9453586 748672:117143:4830002 1345708:108169:4675690 1345703:108636:4733154 1345702:107871:4672344 1345701:106058:4781479 1345707:108214:4735370 1345706:108673:4735793 1345705:108726:4738347 1345704:108505:4736626 748678:108555:4794031 263819:183709:3999262 393305:328261:4683422 1839800:2981513:4962768 637382:108529:4812526 637385:108688:4801867 637386:106870:4725392 
47678	47678:3459268:4570704 1411902:70:3956004 
1871021	57320:70:4217611 1871021:2693813:3500624 
1871022	1871022:1543811:2006976 358:69:16868268 
869303	869303:3381:2024292 
1150353	1150353:17517:22532 
114424	114424:52766:65870 
1136873	1136873:140:4215534 
429009	429009:1686585:2156869 
1055530	1055530:308268:1610632 
1055531	1055531:252539:1635828 
1055532	1055532:381983:1507633 
1052671	1052671:11364:68621 
1785145	475662:70:4052931 1785145:2603725:6247426 305:35:61972245 2018067:245:6499265 
1532180	1532180:4832:5903 
206351	272831:1486:2194862 1386087:1441:2139858 243365:2480:4750981 935593:1509:2250350 475662:70:4052931 935591:1361:2223419 935590:1451:2324723 935599:1529:2184763 63:399:3787254 630588:1444:2242848 490:857:2783814 1853278:1246:2496345 521006:716:2235980 557598:612:3169230 374833:1434:2153317 546263:1124:2256548 1853276:1185:2511805 28091:1636:2188398 1192162:1419:4145515 655307:719:2371813 1108595:1711:5041131 942513:1519:2227156 1095685:1642:2179384 935588:1589:2287395 935589:1298:2248867 1196094:376:2527879 122586:1444:2272261 604162:1649:2277451 662598:1396:2145196 487:104552:151205858 486:1167:2146624 485:8539:26550206 168471:546:3424173 1938604:1118:3962141 1906741:397:3788715 528354:712:2237595 326523:1779:2552423 909420:1449:2240784 748280:2379:4332896 489653:1212:2220507 242231:705:2153823 539:1502:2192478 122587:1370:2184307 
338781	338781:19382:24474 
1188812	1188812:1696:2499 
1234603	1234603:10050:538104 
1188819	1188819:937:1193 
1465751	1465751:124621:162884 
1284208	1284208:10422:12924 
1243579	1243579:25107:4690303 
1267754	1267754:468480:2315966 455432:70:8918341 
1267753	1267753:136537:4674970 59201:2575:49753078 
1431547	1431547:11276:1050857 
667120	667120:153301:4329261 2033032:210:5099110 636:432:7340572 
35806	1571470:140:6284241 1188256:5929043:8670084 475662:70:4052931 2033033:70:4615500 1851544:70:4848002 1411902:1481:3956004 35806:6298756:8928671 
117198	117198:3318:4957 
1266451	1266451:13007:16633 
1258574	1258574:498980:2492801 
1910952	489829:143:5387 511969:150:5387 
32603	32603:108422:159223 
1910950	374840:4:5287 10845:14:5995 10848:14:5990 10849:70:5988 489828:29:5969 511969:70:5387 
1910951	10848:1157:5990 10849:712:5988 489828:595:5969 10845:1425:5995 
1608075	1608075:10063:13012 
220664	220664:3800:7074794 
32604	32604:112019:162015 
368408	368408:1422770:1813195 
2003327	2003327:3575:4778 
1844477	1844477:45564:58467 
983437	983437:3514:5001 
1408133	1408133:14137:17387 
889738	889738:2337:4153110 
1622192	1622192:20271:75888 
1622193	1622193:33250:43406 
1622190	1622190:28050:75068 
1622191	1622191:24708:76177 
1178482	1178482:3703116:4757387 29484:70:9934511 2033032:70:5099110 670:194:77637105 475662:3508:4052931 
1429903	1429903:8699:68097 
580327	580327:766025:2785653 
1346772	1346772:152:4333930 
1429904	1429904:7336:52291 
1429905	1429905:27871:70742 
527027	527027:596581:5956968 
1108865	1108865:17908:157686 
1408137	1408137:14942:18954 
1211705	1211705:456227:5103326 670:8401:77637105 
527028	527028:471056:5968809 
1690248	1690248:1175749:3851143 
425009	425009:3970:5162 
1273090	1273090:3705:5114 
1273092	1273092:3637:5037 
356862	356862:14420:18758 
1004787	1004787:1453119:4674687 
1458426	1571470:70:6284241 1458426:1925388:2623038 475662:140:4052931 1851544:139:4848002 
1874540	1874540:33886:42586 
1879023	92644:70:10744033 439334:134:10901270 455432:495:8918341 1879023:4953992:6578926 
1004788	1004788:753641:4601686 
1642018	1642018:4579:6235 
1462996	1571470:70:6284241 1462996:3498392:4985802 
1580497	1580497:24312:31636 
1923280	1923280:2694:3378 
2183	444158:1148:1744094 647113:5766:1677257 1053692:967:1746474 406327:736:1719949 267377:1226:1661038 402880:1175:1788848 426368:1158:1772595 456320:816:1936288 419665:4113:1569401 
1923282	1923282:4176:5604 
1923284	1923284:3205:4069 
1923285	1923285:4533:5417 
1923286	1923286:3049:3529 
2182	444158:546:1744094 647113:936:1677257 1053692:527:1746474 406327:785:1719949 243232:628:1739202 880724:1284:1854098 267377:660:1661038 644281:525:1772938 402880:517:1788848 426368:556:1772595 573063:312:1328095 1301915:549:1607457 456320:480:1936288 573064:881:1507053 579137:327:1761440 419665:907:1569401 
1923288	1923288:2471:3734 
1923289	1923289:2417:3399 
2233	387631:1076:2076832 224325:626:2178301 693661:1371:1901844 1344584:977:2316188 572546:349:1563225 
2232	565033:2026:1860716 693661:1624:1901844 1344584:2489:2316188 572546:1405:1563225 387631:1911:2076832 224325:7801:2178301 589924:8604:2196167 113653:3340:1769994 
2235	1604004:4086:4462842 1932360:3818:3778692 348780:1168:2749399 1033806:9126:3145962 485914:3202:3332151 751944:3256:3162362 1873524:4134:4058031 519442:2072:3116696 64091:5592:2570713 1417673:3503:3901099 272569:18625:4273751 268739:2338:2912474 1592728:3770:4224452 1407499:20926:3129949 478009:6962:2668281 795797:4305:3697786 634497:3509:3889708 
1808960	1808960:2493:3071 
2237	1417673:2184782:3901099 272569:369180:4273751 634497:2183392:3889708 1592728:2167968:4224452 
2236	1604004:6094:4462842 751944:1041:3162362 1873524:3583:4058031 64091:1103:2570713 1407499:1585:3129949 478009:1426:2668281 795797:1429:3697786 
765869	765869:2358699:3006893 
1230341	1230341:2161686:2776630 
1321391	1321391:8634:11180 
292459	1411902:70:3956004 475662:70:4052931 292459:2786454:3566036 853:70:2868833 
520466	520466:8980:3310529 
1194418	1194418:5542:5887752 
926589	926589:17851:156529 
1073767	1073767:38814:49017 
1312445	1312445:4056:5043 
1415608	1415608:848:1028 
2095	340047:201217:1009924 1124992:193052:1017234 927701:192658:1016608 2151:70:1627040 40480:764803:4067503 
2094	2094:526803:678493 
2097	663918:433245:579878 662945:430097:579697 243273:440497:579977 662947:424096:579459 662946:420939:579405 
2096	1159199:760382:986158 1159204:709133:926551 1159201:724030:939745 1159200:742212:965426 1159203:748974:976313 1159198:735820:953890 1159202:717721:938770 1006581:571998:985334 1159197:742616:964011 710127:630417:1012701 708616:638948:977513 710128:629753:1011928 
2093	2094:8056:678493 1112856:2152:817077 663918:2483:579878 2099:36307:964404 2098:7122:1395755 743971:43739:778767 754503:29077:898064 1116211:19701:920994 1118964:17554:836798 637387:5246:977394 1397850:11441:798989 28903:175347:4938489 1263757:2159:816484 1263756:2159:816466 1263758:2159:816305 1415773:2961:702412 1236904:2159:816397 743965:5978:832504 743967:9301:894952 436113:7446:2173590 743966:3485:760141 768700:2247:742332 1441379:2159:857669 767465:34568:991603 941640:6338:1147160 1263763:2152:816946 267748:753:776980 907287:20010:925477 1233262:2152:816883 1213463:2152:817214 1111676:6781:919893 708616:16559:977513 1238993:2159:816297 1263835:2035:817057 936139:17227:829610 40480:13234:4067503 340047:3884:1009924 710127:17543:1012701 710128:17543:1011928 48003:5308:1007073 86660:12016:1084350 262723:25193:799377 262722:27133:919980 859194:6477:1155838 1267001:27458:846396 1267000:4559:715066 943945:5441:1118652 722438:4321:1628061 272632:41998:1211604 272633:392:1358534 272634:2088:816295 272635:1164:963780 496833:4080:1000961 662945:2541:579697 662947:2426:579459 662946:2438:579405 1263762:2159:816305 1280940:2152:817068 1263760:2159:816303 1263761:2152:817085 262719:32908:897306 40477:3680:1085665 872331:18761:839516 2110:24060:1006603 2112:10798:853454 2113:8827:793742 45361:5558:844646 243272:2371:820354 243273:2540:579977 1292033:6016:859646 1117644:18884:897344 927701:3255:1016608 289397:34987:1003305 29554:7829:693142 29555:18909:968692 2103:186354:5779514 2100:19786:837278 2104:64254:24489504 1159204:9348:926551 1159201:8995:939745 1159200:9715:965426 1159203:9723:976313 1159202:9573:938770 347257:20389:877339 347256:4264:665346 1006581:16847:985334 1246955:15493:997838 295358:21265:892659 866629:5202:1016483 1316930:27154:948323 1403316:2036:564296 880447:5271:1008852 708248:2107:709171 1159199:9738:986158 1159198:9738:953890 634997:23471:837184 865867:40929:1193709 956483:27397:947991 1159197:9738:964011 1197325:2727:650129 512564:4071:933970 862259:4319:1155640 1129369:18881:837381 1124992:3347:1017234 
2092	1159204:354:926551 1159201:354:939745 1159200:319:965426 272634:160:816295 272633:423:1358534 347256:286:665346 496833:43:1000961 1006581:344:985334 565575:655:874379 941640:10:1147160 2094:28:678493 505682:1485:751580 662945:183:579697 662947:183:579459 1263763:160:816946 1263762:160:816305 663918:183:579878 1263760:160:816303 1263761:160:817085 2098:1443:1395755 1233262:160:816883 1213463:160:817214 1159203:354:976313 38504:1514:727190 1111676:10:919893 1159202:354:938770 722438:320:1628061 708616:353:977513 1238993:160:816297 1159199:354:986158 1159198:354:953890 243273:183:579977 1263835:160:817057 1112856:160:817077 1197325:63:650129 1159197:354:964011 134821:5516:2919827 340047:6:1009924 1263757:160:816484 1263756:160:816466 710127:410:1012701 710128:410:1011928 40477:51:1085665 1263758:160:816305 1415773:63:702412 1236904:160:816397 436113:102:2173590 1749074:4:647626 662946:183:579405 1267000:735:715066 943945:93:1118652 862259:6:1155640 1441379:160:857669 273119:1485:751620 1280940:160:817068 859194:10:1155838 637387:63:977394 2104:4769:24489504 
670516	1774:262480:4895068 1299325:114895:5051295 1198627:115361:4687742 36809:2308723:96614428 1460372:269181:5029718 83262:387820:11178428 1962118:121017:4936371 1578165:139675:4649076 1132508:110607:5257037 455432:132:8918341 1520670:261354:4994386 319705:350906:14614876 1303024:123797:5270230 1185650:230246:9373627 1001714:122617:4978283 
2099	754503:635273:898064 1116211:601307:920994 262722:645808:919980 262719:596744:897306 295358:578931:892659 907287:605576:925477 2099:720128:964404 
2098	347256:361391:665346 2098:1067393:1395755 1267000:434538:715066 
1239566	1239566:4349:6248 
1220533	1220533:1974:4146740 
11665	11665:6122:8260 
11663	11663:7471:9157 
1054217	1054217:1143227:1461006 
741091	13690:70:5532534 741091:548518:5613955 636:217:7340572 29484:210:9934511 1851544:30:4848002 47917:70:18051200 
11660	11660:6908:9090 
1514665	1514665:1663:2473 
32067	712368:197121:2152082 523794:63565:2465511 712357:16491:2444805 1785996:192338:2194836 
1922885	1922885:8820:12072 
1922884	1922884:8579:11799 
1922730	1922730:3168:4283 
1805827	92644:139:10744033 1616117:70:9611775 1805827:4310713:5664982 455432:2205:8918341 
1922736	1922736:4983:6282 
1922883	1922883:6076:7592 
1922734	1922734:5028:6519 
1922738	1922738:3815:4941 
1922889	1922889:10402:12901 
1604004	1604004:3477669:4462842 
246343	246343:5813:7256 
134681	134681:3535:5034 
62928	62928:1130214:4375941 
167634	167634:13021:16428 
227137	227137:991:2640 
1923425	1923425:3245:4272 
1109743	92644:184:10744033 1616117:2388:9611775 1109743:4773158:6287876 
1923421	1923421:7771:10021 
1923422	1923422:8597:10198 
1923423	1923423:4481:6136 
1445859	1445859:44161:54692 
1923429	1923429:2171:3110 
1114958	492670:70:111970200 1114958:104457:4019669 
118969	450:70:8433449 451:120:9836661 777:244:8135260 933093:70:3358837 360115:60:2053546 91890:66:10220344 91891:697:31067151 400673:70:3576371 434922:60:2212739 434923:60:2008771 1268635:30:2773011 434924:60:2102182 227377:60:2032609 272624:36:3397624 446:2304:148372687 297246:70:3632955 325775:49:656802 297245:70:3402516 1293501:77:1995358 360116:60:2102104 423212:70:3516235 1312904:70:3507516 661367:35:4147162 
118968	777:3430:8135260 1321945:926:2033164 227377:879:2032609 325775:41:656802 1293501:828:1995358 434924:888:2102182 434923:871:2008771 434922:861:2212739 360116:888:2102104 360115:861:2053546 1592897:1134:1733741 
1129771	526218:2206:4486353 712368:2221:2152082 712357:2198:2444805 1785996:1757:2194836 519441:3754:1673082 523794:2361:2465511 187101:2190:1329846 
118964	1309411:139:3236885 1768108:137:3264235 1182571:197:3531344 1182568:58:2971884 937777:197:4513417 649638:983:3260299 693977:152:2886341 745776:54:4405109 709986:228:3498431 319795:77:3246690 243230:466:6625588 
767462	767462:83796:2172185 
767463	767463:1262:1831850 
85009	479435:3236:7579389 267747:284:2560166 642780:2925:4058383 546874:9193:4405086 546871:9821:4717415 754252:1213:2616285 1276648:284:2494431 1332264:2642:3934600 1032480:6982:5683024 1170318:1051:2526039 671223:302:2649009 33010:1002:2729749 33011:804:2175145 1114969:284:2498667 117157:1490:6403470 1114966:293:2489391 585531:1226:3077691 1091045:290:2488527 1300347:1505:4376608 1748:5584:14635423 1752:1353:2674946 675864:9429:4461589 1610493:1422:3222791 767029:543:3449261 66712:1209:2649067 1871034:59:2010549 1171373:1330:3655970 553199:284:2495235 1744:1185:2630809 196162:2795:5293487 909952:284:2494448 110319:1647:4199758 1736691:1714:3421827 2045:2053:5637261 2041:1691:3629140 1134454:284:2549577 1114967:284:2522786 1031709:284:2560183 1234380:250:2518903 1616117:14:9611775 1747:2443:20060854 630515:5087:6732815 399497:2540:3650570 1909732:2924:3212600 
46234	46234:3536945:5305180 
767465	767465:375:991603 
46239	265311:15214:793125 81460:234:837372 2151:32206:1627040 216427:16070:854681 1406864:16134:825725 
767468	767468:92781:3245838 1590:140:106688292 
1163399	1163399:2254637:4769057 1851544:140:4848002 2018067:70:6499265 
1344959	57706:3345397:10078481 67827:1204984:10027140 573:140:628984566 2033032:70:5099110 1333848:989447:5371133 575:3524:5889394 2033033:69:4615500 29484:643:9934511 546:5743442:43322412 47917:163:18051200 59201:439:49753078 548:219:26624894 
85007	526226:35980:5289814 1936029:14798:6828538 246196:63337:20964358 945712:1458:2606275 945711:1641:2501996 340322:1795:3362946 649754:804:2790086 1121353:2005:2928386 443149:5679:4414226 1041522:14740:5581544 931089:1888:3033224 1791:23539:6038631 1797:17052:4950586 234621:24002:6895142 1352598:5517:4361395 1352599:5557:4349249 1352592:5503:4376667 1352593:5493:4370326 1352590:5523:4295692 1352591:5553:4296260 1352596:5517:4363909 1352597:5517:4356850 1352594:5557:4388285 1352595:5553:4372008 1705:4212:11433695 1223515:6732:2681213 43770:1159:2797395 43771:3459:2377433 543736:25886:9168042 1214915:20086:7085449 439334:30869:10901270 2033032:50:5099110 1050174:1873:2691973 191292:67563:12133537 1334071:5483:4394697 1334070:5578:4391034 1334073:5631:4350544 1334072:5567:4353821 1334075:5539:4387709 1334074:5517:4392292 1334077:5631:4351177 1334076:5517:4382514 1334079:5517:4378622 1334078:5583:4380885 1132508:10264:5257037 413996:5681:4339986 1570939:37245:5596316 662755:1903:2601212 1616117:199:9611775 698971:1725:2395342 698970:1701:2484233 698973:1957:2485420 698972:1890:2448972 1352574:5550:4370916 1352575:5504:4321849 1352576:5552:4336421 1352577:5631:4363374 1352570:5517:4351981 1352571:5551:4320628 1352572:5504:4333884 1352573:5447:4245389 1185650:18413:9373627 1352578:5631:4374369 1352579:5517:4371967 65058:10485:17403470 681645:1638:2328109 645127:1032:2446705 1136179:14413:6371223 35755:954:2353966 35757:483:3011468 1131442:8813:6450324 1334080:5517:4409053 1334081:5517:4370977 1334082:5583:4365779 1334083:5482:4374813 1334084:5517:4377000 659019:5679:4418449 663887:5565:4353059 640132:5760:3157428 1205674:6163:4522420 1205675:5405:4418957 1205676:5573:4430714 1205677:5646:4522974 1348662:2410:2031023 757417:5517:4410362 757418:5517:4373463 757419:5517:4349527 401472:5739:2326464 1249615:5646:4385419 37919:27749:8637057 1334061:5579:4384286 935298:1638:2335224 1564114:17199:5341458 1097669:5489:4266129 336982:5558:4424336 663886:5565:4364858 652616:5601:4392254 1697:804:2808166 702967:1950:2365184 1229671:14722:5145730 189918:18233:6255782 1266446:5557:4378586 765874:1619:2337814 1001714:9501:4978283 319705:30314:14614876 212767:11774:7221370 889513:1638:2337495 1737359:41430:5148434 1833:14738:6863851 557599:8507:6577030 882099:5607:4345048 882098:5607:4317157 36809:189263:96614428 478434:5513:4398151 478435:5565:4399021 478433:11130:8776033 679318:11095:4444349 196164:4472:3219208 701042:12207:5285444 1198627:9247:4687742 1437856:5517:4410812 1121362:7213:3221654 710421:18005:6342327 92644:141:10744033 443150:11288:8820129 306537:2989:2476624 482462:30849:8079921 758802:14841:6103613 1273687:15926:6324123 216594:8581:6659946 1299325:10491:5051295 1717:5382:7426520 1719:80370:117900101 1718:21203:39667068 1299329:16256:5197565 1299328:8458:6402202 1074485:1656:2310316 1199187:14996:4829325 1435356:29405:5590215 1404245:5065:3568020 998092:5622:4333965 146827:2703:5336475 710685:12083:6415640 521096:25016:4479526 1334068:5631:4344736 1334069:5517:4401102 1334066:5517:4382069 1334067:5517:4353341 1334064:5517:4403969 1334065:5583:4385977 1334062:5476:4387009 1334063:5517:4381242 1334060:5517:4354647 558173:4216:2698797 33894:5686:4340681 33892:11532:8780371 1010836:5689:4398749 1010834:5679:4407830 1010835:5679:4401800 882100:5537:4327800 262316:15015:4829682 1851544:140:4848002 1117942:1602:2337558 2055:31294:5701402 1408268:1494:2542498 1578165:12506:4649076 1072256:2835:2419338 1723645:23977:7437928 1267754:3881:2315966 1133849:27278:9436249 247156:37546:6292047 1727214:14577:6497409 1653479:21308:5316750 700508:17373:5421168 548476:2029:2819028 1232724:12661:5588908 1087451:1615:2402857 1087452:1638:2337839 1087453:1638:2337507 1087454:1656:2279019 83262:24870:11178428 1528099:9926:3775011 1310115:5452:4390207 1033922:32633:6148361 1879023:19154:6578926 1460372:10977:5029718 561304:1093:3267910 136857:2703:2721127 161899:1549:2829916 164757:18153:6048326 164756:18352:5920325 1431546:3935:2926307 161896:1893:2450362 161895:1046:2791003 1408189:3015:2769646 632772:29167:8834345 1048245:5568:4481960 1766:16100:6254517 1767:26095:11070409 1764:14979:4953511 1765:28549:21771465 1232383:1827:3350520 1232381:1827:3350521 1232384:1802:3332359 1232385:1802:3340842 1346773:5517:4339390 1346772:5503:4333930 1346771:5517:4397146 1346770:5401:4263679 1346777:5583:4361861 1346776:5447:4280284 1346775:5481:4320800 1346774:5517:4371245 1346779:5517:4372010 1346778:5527:4309094 717522:5701:4350255 1334057:5593:4353974 1334056:5517:4353960 1334055:5553:4345887 1334054:5503:4350941 1334053:5545:4364816 1334052:5630:4370644 1334051:5583:4371583 1334050:5517:4365287 1427516:5666:4412280 561275:11406:8743220 1204414:1881:3309301 1334059:5517:4357941 1334058:5517:4367081 83332:16551:13219063 1805827:29879:5664982 1920667:15986:6041309 1784:8961:5938496 455432:23398:8918341 1354275:19388:6235655 1829:26146:5274657 1570328:17373:5421239 1487956:3144:2471821 1452723:5679:4404782 1206780:5780:4376612 191610:2026:2358785 1124626:15342:11659695 1451189:3641:2718683 1112204:32262:5844101 1520670:10068:4994386 419947:11033:8845888 1774:10945:4895068 1344043:5517:4354569 1200352:5590:2751134 1344047:5500:4324377 1344046:5517:4367514 1344045:5553:4378134 1344044:5504:4346366 1344048:5565:4389306 1299330:16113:5169316 1299331:13072:5182949 37332:52149:16426053 156978:13332:5128437 156976:2239:2561582 747367:5679:4327985 747369:5646:4341539 1653478:25956:4251588 1051973:15318:5501813 337191:28976:5885314 443218:4770:4863193 1306400:5631:4411029 1224163:4614:2833349 1224162:8327:2728922 1224164:7577:2931681 187491:1970:2518529 441500:2842:2632986 134962:28389:7310016 1202450:6038:4235604 222805:109157:49904795 1303024:9694:5270230 1561223:10585:4855273 875328:13470:4643569 103816:30763:5303796 1807790:14924:7018951 370526:21670:5987732 370524:15553:6036918 459424:8028:6399345 1138877:5615:4421098 1138871:12138:5661791 1161911:1647:2365775 487521:13111:5402303 1262529:5517:4348920 1262526:5517:4373809 1262525:5503:4365145 92706:1784:3338600 1788:13362:4532218 44454:15895:5011165 278137:18893:5782995 83331:5631:4399673 243243:16428:5475392 1352589:5517:4350914 1352588:5517:4377148 1352585:5504:4357256 1352584:5557:4355938 1352587:5553:4349129 1352586:5557:4380458 1352581:5503:4368137 1352580:5517:4370444 1352583:5504:4339516 1352582:5557:4351042 350054:18435:5982433 1771:23790:5349546 1770:75156:24058249 1773:602073:475629789 1772:62677:20959609 350058:18828:6491766 196627:3741:6591911 1346765:5565:4365355 1346766:5517:4372520 1346767:5517:4374325 1346768:5503:4368824 1415166:26638:8348433 38289:5517:2650693 1168287:12399:5613527 1334047:5583:4370387 679896:1638:2335014 28028:1714:2758554 1334048:5553:4363364 1006579:1423:2442541 499555:40596:3607793 504474:3459:2369120 1445606:5447:4414979 698966:1814:2426452 698967:1814:2427019 698964:1869:2530584 698965:1657:2433227 698962:1859:2535247 698963:1567:2499090 698968:1606:2468513 698969:1728:2478265 1341711:5500:4366155 747368:5647:4349378 134601:20746:7105802 1352600:5504:4334183 410289:5765:4374423 1437875:6807:2604053 1437874:7411:2594700 115862:5650:4324532 1310161:1865:3079154 38302:4809:2266271 722731:10676:5232561 996634:1554:2579089 272631:1093:3268104 395095:5601:4408125 707235:5565:4398426 257309:2013:2488536 1545728:13864:6177307 1079988:1642:3329796 1289591:14294:6806209 1168865:1639:2369718 37329:39734:6459285 37326:28564:8934556 1127134:32584:6194546 858619:6963:3432908 1136941:37495:4428628 757421:5517:4360294 685727:26748:5043071 1203599:24832:10880492 101510:30102:9702341 1285583:927:3131854 585529:3115:2349494 525370:27474:5254438 1138382:13068:5409566 572418:5773:4389215 935697:1569:2369288 1768:51275:38524446 1045808:15729:7594364 571915:1477:3473929 1306414:5528:4391075 935199:34275:5412887 362242:7694:5805563 1089446:1633:2337529 1682113:31268:6053787 1652495:1496:3216929 1138383:12980:5500991 1962118:9478:4936371 1346788:5583:4336047 1346786:5631:4366080 1346787:5433:4309607 1346784:5517:4372494 1346785:5517:4323690 1346782:5500:4363005 1346783:5503:4373874 1346780:5503:4380128 1346781:5471:4304863 
795797	795797:2883514:3697786 
761701	761701:1756:2669 
761702	761702:3889:5157 
349101	1411902:140:3956004 349101:1063635:4489083 358:70:16868268 
45989	368407:31292:2477861 83986:1248401:2551090 86622:1582499:2859200 1201294:955819:2789675 
349102	1571470:70:6284241 59201:70:49753078 349102:3357906:4556533 1851544:72:4848002 1411902:560:3956004 358:70:16868268 
203119	203119:369998:3843202 
1112856	1112856:872:817077 
48461	1679444:487:3073979 1882831:74:3763345 239935:978:5482207 349741:489:2664003 240016:796:8220758 
191610	1616117:70:9611775 191610:1804902:2358785 455432:69:8918341 
1279007	1279007:1224:6497973 
929835	929835:28109:37194 
2010332	2010332:780:1250 
1123863	1123863:476136:4907946 
929833	929833:40993:53003 
929832	929832:149693:192398 
195054	1803956:5867:7249 
71366	71366:1773:41302 
11303	11303:11314:14801 
11027	11027:8620:11736 
768486	768486:514459:2855493 
869307	869307:283:2026406 
504832	504832:106184:7641307 
195059	195059:9882:13089 
2015316	1571470:280:6284241 13690:70:5532534 636:36:7340572 475662:69:4052931 1411902:70:3956004 2015316:4456328:5838092 358:102:16868268 
12316	1386090:70:8280 243563:70:8253 339420:34:8350 
12317	12317:7236:8325 
12315	12315:6453:8573 
12313	12313:6424:8195 
1520670	1520670:3070806:4994386 439334:69:10901270 455432:210:8918341 
89463	89463:6533:8733 
12319	12319:6688:8214 
519497	519497:20521:28134 
12916	232721:385734:4584857 80869:480755:5349825 643561:473649:5482071 13690:72:5532534 358220:123221:5196836 1662458:3333644:4704242 1662457:3305429:4565236 1662456:1890217:4057825 305:14:61972245 535289:335504:3796474 2018067:70:6499265 104102:24:4139464 397945:480648:5352673 1851544:1045:4848002 553814:1816450:4122526 47917:10:18051200 1858609:457010:4416197 1842533:107120:4574760 
1196159	1196159:425:2971444 
588898	588898:2963048:3835400 
542838	151528:6:46576 438482:70:46115 
1978566	1616117:70:9611775 13690:70:5532534 1978566:2975336:3961032 
53434	574087:444:2469497 748449:828:2649156 
1159491	1159491:126387:4473464 54291:70:40091732 575:685:5889394 
367928	367928:448715:2089515 853:70:2868833 
1260770	1260770:538:1290 
53433	656519:229:2613018 572479:222:2309163 574087:175:2469497 748449:182:2649156 373903:30:2578047 
1088719	29484:140:9934511 1088719:1618149:4265569 
1940555	1940555:135333:173762 
1526550	1526550:10620:41993 
180822	180822:4328:5781 
1915203	1915203:1972:2514 
996651	996651:5839:7807 
996650	996650:5689:7580 
1128424	1128424:181362:231522 
1961665	1961665:5057:6613 
1961666	1961666:5075:6541 
156978	92644:8:10744033 156978:3860043:5128437 455432:70:8918341 
273526	47917:210:18051200 273526:348055:5113703 
156976	156976:1939219:2561582 
252356	1178778:2201:4639858 1644130:1630148:4399512 313603:1697:3868205 1250153:1637189:4505601 1836467:13247:4271059 
1965344	1965344:4237:5170 
1664069	29484:70:9934511 1402:412:52478014 1664069:6769053:9266711 
1505530	1505530:5762:7325 
1938334	1938334:2890446:3822784 1616117:15:9611775 455432:70:8918341 
1608473	1608473:2232702:3048079 
483179	483179:70:3312571 
1848756	1848756:1120751:1456417 
1449978	1449978:549968:6930100 
1848754	1848754:1076244:1506316 
1848755	1848755:1213736:1551513 
2026799	2026799:3689738:4730348 
141860	141860:818:1015 
1334565	1334565:350:2907094 
440085	152682:527:3653276 440085:1999734:6180435 
788929	788929:20008:2513927 
158	243275:2006103:2843102 999434:1286421:2849888 999426:1501251:2832340 999432:1448842:2747087 999430:1991287:2753144 999431:1438365:2919750 
1031710	1031710:3600:3839474 
1031711	1031711:31706:5430065 305:564:61972245 
879628	879628:45697:163776 
1843770	1843770:1446:1757 
141863	196399:70:201 
1883374	1883374:193491:246291 
1883377	1883377:177772:229402 
1030595	1030595:1905:2590 
1340818	1340818:7239:50591 
1340819	1340819:17599:72009 
760154	760154:1932919:2510010 
1340810	1340810:139211:189212 
361177	1267766:3866:3474908 13690:140:5532534 543877:6281:2884934 476157:1551:2673879 361183:4518:2786157 645517:4253:2591580 1982042:5967:2702752 692370:4799:3009396 
1161132	1161132:5556:7254 
154339	154339:12119:14946 
205899	205899:19013:23642 
1758139	1758139:9211:12065 
11069	11069:8153:10608 
1549858	13690:1844:5532534 1549858:3073619:4061605 358:70:16868268 
443218	92644:70:10744033 455432:70:8918341 443218:3785258:4863193 358:70:16868268 
1979166	1979166:11353:15351 
11060	11060:8078:10624 
1883372	1883372:167882:223836 
1979162	1979162:11759:15147 
1979163	1979163:11779:15387 
1979160	1979160:12015:15547 
36362	36362:3582:4465 
1507403	1507403:941:1307 
529709	529709:1327455:1716719 
394221	1571470:140:6284241 1411902:70:3956004 394221:2626679:3368681 
1445726	1445726:13640:42141 
338190	1580092:3993:1802991 1229909:4348:1690806 1898749:6544:1359977 
338191	1580092:7016:1802991 1229909:6522:1690806 
1923759	1923759:7587:9862 
1583341	1583341:1219847:6344501 
186165	186165:4518:5599 
